state_name,state_fips,technology,file_id,file_name,download_link
Puerto Rico,72,Copper,1582399,bdc_72_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582399/1
Rhode Island,44,Copper,1582385,bdc_44_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582385/1
South Carolina,45,Copper,1582386,bdc_45_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582386/1
South Dakota,46,Copper,1582387,bdc_46_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582387/1
Tennessee,47,Copper,1582388,bdc_47_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582388/1
Texas,48,Copper,1582389,bdc_48_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582389/1
Utah,49,Copper,1582390,bdc_49_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582390/1
Vermont,50,Copper,1582391,bdc_50_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582391/1
Virginia,51,Copper,1582392,bdc_51_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582392/1
Washington,53,Copper,1582393,bdc_53_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582393/1
West Virginia,54,Copper,1582394,bdc_54_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582394/1
Wisconsin,55,Copper,1582395,bdc_55_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582395/1
Wyoming,56,Copper,1582396,bdc_56_Copper_fixed_broadband_J25_29apr2026,https://broadbandmap.fcc.gov/nbm/map/api/getNBMDataDownloadFile/1582396/1
